00:48:06.553447 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6935696:6935860, ack 3781, win 2258, length 164
00:48:06.553528 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6935860:6936024, ack 3781, win 2258, length 164
00:48:06.553602 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6936024:6936188, ack 3781, win 2258, length 164
00:48:06.553799 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6936188:6936352, ack 3781, win 2258, length 164
00:48:06.553888 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6936352:6936516, ack 3781, win 2258, length 164
00:48:06.554002 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6936516:6936680, ack 3781, win 2258, length 164
00:48:06.554081 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6936680:6936844, ack 3781, win 2258, length 164
00:48:06.554177 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6936844:6937008, ack 3781, win 2258, length 164
00:48:06.554252 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6937008:6937172, ack 3781, win 2258, length 164
00:48:06.554335 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6937172:6937336, ack 3781, win 2258, length 164
00:48:06.554409 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6937336:6937500, ack 3781, win 2258, length 164
00:48:06.554482 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6937500:6937664, ack 3781, win 2258, length 164
00:48:06.554570 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6937664:6937828, ack 3781, win 2258, length 164
00:48:06.554648 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6937828:6937992, ack 3781, win 2258, length 164
00:48:06.554725 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6937992:6938156, ack 3781, win 2258, length 164
00:48:06.554799 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6938156:6938320, ack 3781, win 2258, length 164
00:48:06.554876 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6938320:6938484, ack 3781, win 2258, length 164
00:48:06.554964 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6938484:6938648, ack 3781, win 2258, length 164
00:48:06.555037 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6938648:6938812, ack 3781, win 2258, length 164
00:48:06.555110 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6938812:6938976, ack 3781, win 2258, length 164
00:48:06.555190 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6938976:6939140, ack 3781, win 2258, length 164
00:48:06.555264 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6939140:6939304, ack 3781, win 2258, length 164
00:48:06.555342 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6939304:6939468, ack 3781, win 2258, length 164
00:48:06.555417 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6939468:6939632, ack 3781, win 2258, length 164
00:48:06.555491 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6939632:6939796, ack 3781, win 2258, length 164
00:48:06.555561 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6939796:6939960, ack 3781, win 2258, length 164
00:48:06.555631 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6939960:6940124, ack 3781, win 2258, length 164
00:48:06.555707 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6940124:6940288, ack 3781, win 2258, length 164
00:48:06.555776 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6940288:6940452, ack 3781, win 2258, length 164
00:48:06.555848 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6940452:6940616, ack 3781, win 2258, length 164
00:48:06.555926 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6940616:6940780, ack 3781, win 2258, length 164
00:48:06.556000 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6940780:6940944, ack 3781, win 2258, length 164
00:48:06.556075 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6940944:6941108, ack 3781, win 2258, length 164
00:48:06.556149 IP 165.227.42.214.22 > 99.244.135.91.50317: Flags [P.], seq 6941108:6941272, ack 3781, win 2258, length 164
00:48:06.556203 IP 99.244.135.91.50317 > 165.227.42.214.22: Flags [P.], seq 3781:3817, ack 6896948, win 4140, length 36
