00:48:35.989858 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1590792:1590996, ack 901, win 2258, length 204
00:48:35.989929 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1590996:1591200, ack 901, win 2258, length 204
00:48:35.990031 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1591200:1591404, ack 901, win 2258, length 204
00:48:35.990141 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1591404:1591608, ack 901, win 2258, length 204
00:48:35.990219 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1591608:1591812, ack 901, win 2258, length 204
00:48:35.990293 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1591812:1592016, ack 901, win 2258, length 204
00:48:35.990362 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1592016:1592220, ack 901, win 2258, length 204
00:48:35.990433 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1592220:1592424, ack 901, win 2258, length 204
00:48:35.990501 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1592424:1592628, ack 901, win 2258, length 204
00:48:35.990570 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1592628:1592832, ack 901, win 2258, length 204
00:48:35.990638 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1592832:1593036, ack 901, win 2258, length 204
00:48:35.990708 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1593036:1593240, ack 901, win 2258, length 204
00:48:35.990777 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1593240:1593444, ack 901, win 2258, length 204
00:48:35.990849 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1593444:1593648, ack 901, win 2258, length 204
00:48:35.990916 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1593648:1593852, ack 901, win 2258, length 204
00:48:35.990989 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1593852:1594056, ack 901, win 2258, length 204
00:48:35.991069 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1594056:1594260, ack 901, win 2258, length 204
00:48:35.991144 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1594260:1594464, ack 901, win 2258, length 204
00:48:35.991215 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1594464:1594668, ack 901, win 2258, length 204
00:48:35.991297 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1594668:1594872, ack 901, win 2258, length 204
00:48:35.991369 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1594872:1595076, ack 901, win 2258, length 204
00:48:35.991448 IP cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317 > 165.227.42.214.ssh: Flags [P.], seq 901:937, ack 1540000, win 4135, length 36
00:48:35.991506 IP 165.227.42.214.ssh > cpef85e424c507d-cmf85e424c507b.cpe.net.cable.rogers.com.50317: Flags [P.], seq 1595076:1595280, ack 937, win 2258, length 204
